student_id,age,gender,study_hours_per_day,sleep_hours,phone_usage_hours,social_media_hours,youtube_hours,gaming_hours,breaks_per_day,coffee_intake_mg,exercise_minutes,assignments_completed,attendance_percentage,stress_level,focus_score,productivity_score,final_grade
1,25,Male,4.31,5.64,7.6,3.34,2.41,0.35,9,448 mg,25.0,8,72.49%,9,13.55,40.08,86.92
2,26,Female,7.62,4.42,5.24,2.0,2.36,1.22,6,440 mg,33.0,11,88.00%,8,18.53,44.04,64.36
3,28,Male,1.38,6.78,9.82,3.87,2.82,2.7,10,402 mg,49.0,0,52.86%,8,0.0,23.48,77.78
4,21,Female,5.37,6.66,11.05,5.29,3.03,3.36,9,478 mg,39.0,10,75.52%,8,16.88,27.07,74.69
5,17,Male,6.0,7.54,1.37,1.22,0.41,0.0,9,214 mg,57.0,10,77.56%,5,46.65,81.66,73.66
6,28,Male,3.5,4.17,6.41,3.19,2.27,2.8,9,597 mg,4.0,4,54.52%,10,0.0,31.69,51.66
7,28,Male,4.82,5.62,4.8,2.32,1.91,1.56,10,404 mg,7.0,8,76.27%,8,6.16,46.7,61.67
8,25,Female,3.25,5.07,6.84,2.42,2.56,2.03,10,420 mg,27.0,4,60.96%,10,0.87,22.31,76.33
9,20,Female,6.07,6.87,5.57,2.22,1.04,0.79,7,252 mg,93.0,14,80.05%,4,36.42,67.38,77.52
10,27,Male,4.07,6.53,8.49,4.89,2.04,1.89,11,357 mg,26.0,1,62.77%,8,12.65,43.38,62.91
11,24,Male,5.03,7.7,6.53,3.29,2.46,1.84,8,280 mg,60.0,10,76.53%,7,19.28,52.87,81.28
12,20,F,5.19,5.12,6.12,3.07,1.29,1.65,8,457 mg,10.0,8,70.74%,9,5.42,39.77,68.26
13,23,Male,4.33,5.5,7.49,3.15,3.25,2.33,13,353 mg,59.0,8,73.35%,8,10.78,35.33,82.33
14,30,F,3.13,6.03,9.42,3.34,2.28,0.81,9,361 mg,73.0,5,72.85%,7,0.36,25.81,63.73
15,24,Female,3.92,7.74,6.14,3.1,2.09,1.35,8,236 mg,47.0,8,62.09%,6,32.85,48.68,60.57
16,30,Female,4.89,8.19,3.11,1.58,1.64,0.0,9,95 mg,44.0,7,69.68%,4,46.33,70.37,72.13
17,28,Male,5.5,7.28,7.21,2.32,2.27,2.99,4,346 mg,21.0,12,82.96%,5,26.27,53.75,64.16
18,28,Female,8.68,6.84,1.87,0.92,0.41,0.0,3,209 mg,116.0,18,94.03%,3,53.91,100.0,83.54
19,20,F,4.92,5.94,8.07,4.04,2.63,4.84,5,524 mg,4.0,8,67.64%,8,3.6,20.52,77.67
20,27,Male,9.05,6.72,4.27,2.42,0.63,2.36,5,278 mg,39.0,19,91.51%,6,40.55,85.15,73.98
21,26,Male,3.37,5.14,6.38,3.13,3.11,2.64,6,423 mg,34.0,6,62.73%,10,5.06,40.77,79.94
22,22,Female,6.91,6.68,6.02,2.2,1.72,0.0,6,363 mg,77.0,10,75.81%,6,19.43,67.47,77.52
23,29,Female,3.71,5.94,7.59,4.09,1.45,1.74,9,537 mg,26.0,4,69.06%,8,11.02,30.32,43.18
24,27,Male,3.93,6.83,10.59,4.95,4.27,2.72,7,314 mg,42.0,7,68.24%,7,20.59,28.14,71.05
25,27,Female,1.47,5.6,7.34,3.99,1.91,1.72,6,420 mg,38.0,2,59.31%,9,0.0,32.94,57.19
26,20,Female,8.24,7.92,0.0,0.69,0.0,0.24,5,120 mg,85.0,15,92.70%,3,49.31,100.0,83.08
27,26,Male,4.36,5.75,4.9,2.02,0.4,0.58,9,483 mg,33.0,6,64.18%,8,15.45,39.35,71.05
28,18,Male,5.22,6.73,2.41,0.59,0.62,2.01,8,303 mg,39.0,11,71.27%,6,24.98,68.12,83.62
29,27,Female,7.7,7.29,3.32,1.56,1.02,1.24,5,264 mg,47.0,16,97.19%,5,45.11,92.14,100.0
30,29,Other,1.41,6.96,8.27,3.72,0.82,3.72,12,378 mg,45.0,1,49.60%,8,0.0,19.65,69.49
31,17,Male,2.56,5.75,10.31,4.26,2.59,2.63,7,453 mg,72.0,7,59.90%,8,0.0,24.44,45.66
32,19,Male,3.09,4.07,6.95,2.38,1.76,3.2,11,426 mg,31.0,3,57.55%,9,0.0,41.04,63.63
33,27,Female,4.35,6.52,6.92,3.1,2.05,2.68,10,416 mg,62.0,6,75.46%,7,11.24,58.82,90.67
34,22,Male,6.54,6.31,1.31,1.69,0.97,1.52,5,289 mg,27.0,13,80.62%,6,33.4,57.68,70.83
35,17,M,3.68,6.56,9.42,5.15,2.28,3.17,10,314 mg,80.0,6,67.57%,6,5.6,31.41,72.01
36,21,Male,8.81,7.05,2.51,0.29,1.1,0.0,4,433 mg,22.0,18,89.49%,5,35.51,70.89,73.95
37,21,Female,4.08,8.59,3.09,1.01,0.19,0.0,3,142 mg,90.0,15,82.87%,2,53.88,75.13,79.15
38,19,Female,6.87,6.9,5.11,2.37,1.53,2.37,9,316 mg,71.0,16,87.24%,4,47.23,78.98,77.99
39,17,Female,7.02,6.65,1.8,0.89,1.71,1.78,5,284 mg,,15,84.57%,6,41.94,77.69,55.19
40,23,F,1.59,6.79,8.07,3.93,2.72,3.02,12,342 mg,68.0,4,50.28%,8,2.25,17.66,
41,29,Male,5.03,5.36,1.17,0.92,0.16,0.0,7,314 mg,46.0,6,67.04%,8,34.44,70.44,56.9
42,22,Other,2.9,8.16,7.6,3.81,1.81,2.05,8,282 mg,72.0,3,50.24%,6,21.75,48.85,65.39
43,24,Female,3.29,6.2,8.94,5.34,2.49,2.28,11,329 mg,37.0,5,60.66%,8,0.0,30.61,56.09
44,26,Female,5.55,5.39,5.77,2.08,2.21,1.01,10,283 mg,43.0,8,71.42%,6,20.98,55.9,77.05
45,17,Female,3.66,5.9,8.13,4.39,2.67,1.4,12,445 mg,49.0,4,61.53%,8,4.37,42.67,51.87
46,27,Female,2.7,5.02,10.0,4.18,1.7,4.87,9,401 mg,17.0,4,60.95%,9,0.0,7.63,65.03
47,26,Female,5.83,6.53,8.6,4.27,2.73,3.44,7,358 mg,80.0,11,73.46%,7,16.2,47.99,80.15
48,20,Female,4.95,5.37,6.27,2.85,2.37,4.32,11,254 mg,75.0,7,72.98%,5,22.45,51.23,74.19
49,27,Male,1.74,7.08,9.46,4.53,2.4,2.24,10,273 mg,70.0,1,45.89%,7,0.0,24.11,57.77
50,19,Female,6.06,6.77,1.17,0.55,1.91,1.36,8,227 mg,86.0,7,71.56%,5,33.66,80.77,89.86
51,18,Male,6.27,7.77,2.2,0.8,1.68,1.02,11,111 mg,80.0,12,74.16%,5,53.25,86.22,76.07
52,22,Male,9.02,7.47,1.8,1.29,1.16,0.0,0,231 mg,56.0,15,100.00%,2,50.14,94.79,95.17
53,21,Male,4.57,6.16,8.45,4.08,2.11,3.01,9,534 mg,0.0,5,64.42%,10,2.05,16.28,67.68
54,25,Female,2.79,7.34,10.5,4.2,3.69,3.17,13,273 mg,80.0,6,66.85%,6,21.4,42.6,65.92
55,29,Female,2.56,5.27,9.42,3.51,2.92,4.45,11,434 mg,42.0,4,58.65%,9,0.0,28.13,44.66
56,18,Female,0.4,6.32,5.24,1.86,1.12,0.3,11,328 mg,53.0,1,52.23%,8,0.44,7.15,53.04
57,18,Female,4.42,6.93,6.61,2.29,1.98,2.97,7,270 mg,82.0,9,72.25%,6,32.17,64.48,58.14
58,22,Female,6.41,6.58,7.56,3.42,1.67,3.22,7,347 mg,78.0,14,79.31%,6,22.48,64.92,100.0
59,28,Female,8.54,7.12,3.46,1.08,0.0,1.96,1,223 mg,60.0,20,94.39%,3,53.72,86.89,86.6
60,17,Male,7.46,6.07,0.58,0.0,0.0,0.0,8,313 mg,56.0,14,93.19%,6,43.27,88.3,74.07
61,17,Male,5.89,6.2,9.77,3.89,3.07,1.59,4,452 mg,45.0,10,75.23%,8,9.75,49.84,66.59
62,21,Female,3.96,6.76,6.34,3.49,1.73,1.24,7,284 mg,50.0,5,70.80%,8,19.61,60.75,85.81
63,24,Female,8.97,4.02,5.63,2.38,2.45,0.0,6,340 mg,32.0,15,85.86%,9,0.0,45.79,86.73
64,25,Male,0.73,5.35,9.32,3.89,3.52,3.11,15,408 mg,64.0,2,56.33%,8,0.0,26.06,51.45
65,17,Female,7.35,5.2,6.3,2.28,1.66,2.89,6,396 mg,59.0,14,81.28%,8,14.76,62.64,80.96
66,27,Other,4.4,5.84,6.54,2.98,1.77,1.67,6,302 mg,65.0,8,68.32%,5,15.84,55.55,65.59
67,19,Female,3.82,8.26,7.3,4.07,3.41,3.71,8,310 mg,57.0,5,66.12%,6,22.13,53.26,81.92
68,27,Female,8.03,5.93,4.6,2.01,1.23,2.25,6,379 mg,40.0,14,86.39%,5,30.88,70.93,85.31
69,20,F,6.0,5.3,0.88,1.25,0.68,0.0,9,369 mg,60.0,14,75.79%,6,40.4,78.21,63.75
70,19,Female,6.55,7.51,7.53,3.04,1.27,2.53,7,279 mg,108.0,9,78.02%,5,39.69,80.14,79.51
71,22,Female,5.96,6.2,6.14,3.8,2.02,2.45,11,327 mg,59.0,13,75.23%,6,24.27,66.87,95.24
72,23,Female,8.24,7.09,6.44,3.38,0.6,2.09,6,359 mg,44.0,18,88.44%,6,26.91,68.13,61.99
73,21,Female,1.4,5.37,7.22,3.83,2.01,2.56,11,301 mg,57.0,0,53.86%,9,0.0,40.67,44.73
74,27,Male,8.99,7.24,2.09,0.83,0.02,1.41,3,173 mg,89.0,17,94.54%,3,58.57,93.98,96.08
75,21,Male,6.87,7.05,1.79,0.0,0.94,0.0,7,300 mg,53.0,9,74.58%,5,51.69,79.3,80.19
76,28,Male,6.95,5.94,5.2,2.89,2.95,2.49,5,460 mg,48.0,12,82.89%,8,18.12,57.09,88.2
77,18,F,7.88,6.48,5.24,2.17,0.63,0.69,4,278 mg,103.0,14,85.46%,4,33.3,84.66,85.53
78,22,Female,4.36,3.1,10.65,3.9,3.37,3.45,7,540 mg,44.0,6,68.96%,10,0.0,23.08,74.17
79,23,Female,6.21,7.26,9.28,4.64,3.44,2.97,7,385 mg,58.0,11,68.04%,6,20.37,49.53,46.73
80,24,Female,2.06,5.72,11.54,5.04,4.05,3.6,10,460 mg,42.0,5,56.66%,9,0.0,16.11,58.0
81,19,Female,4.7,5.94,4.18,2.1,2.06,0.71,7,470 mg,12.0,8,71.70%,8,16.75,52.83,63.72
82,26,Male,8.58,7.12,8.32,4.12,2.29,3.29,5,446 mg,34.0,17,94.13%,6,12.16,66.4,87.69
83,18,Other,6.23,6.15,11.67,5.16,3.37,3.52,8,483 mg,71.0,12,69.69%,8,1.81,35.79,74.09
84,26,Male,9.4,5.48,6.19,4.22,2.15,2.03,1,393 mg,34.0,18,98.79%,6,19.69,59.91,80.95
85,22,Male,6.34,7.92,0.64,0.64,0.03,0.3,6,198 mg,48.0,12,71.84%,5,53.11,78.07,79.17
86,25,Female,8.71,6.31,6.3,3.22,1.83,1.93,2,197 mg,74.0,16,93.77%,5,32.11,71.96,86.97
87,25,Female,6.39,6.3,6.04,2.8,1.41,1.26,7,478 mg,25.0,9,74.75%,7,26.42,53.78,72.88
88,25,Female,4.36,5.31,,2.76,2.09,1.88,7,428 mg,34.0,10,68.53%,7,8.23,39.13,87.31
89,21,Male,8.55,7.13,0.61,1.2,0.0,0.54,4,187 mg,75.0,15,85.53%,2,62.43,100.0,86.68
90,21,Female,5.81,7.25,5.44,2.9,1.14,2.29,8,108 mg,93.0,10,81.46%,5,37.13,70.43,75.71
91,30,Female,10.24,8.36,0.62,0.27,0.4,0.51,3,179 mg,93.0,20,91.79%,4,50.54,100.0,85.61
92,25,Male,6.45,5.6,9.25,4.37,3.08,2.96,4,531 mg,30.0,12,68.36%,9,0.0,17.01,74.31
93,23,Male,8.27,6.14,8.43,3.49,1.95,5.3,7,280 mg,60.0,14,85.04%,6,23.89,64.54,83.8
94,21,Female,3.72,6.11,5.26,2.53,3.45,1.87,8,274 mg,59.0,6,59.92%,5,29.34,61.17,76.86
95,19,Male,5.91,4.92,1.84,0.09,0.07,0.0,9,331 mg,12.0,8,75.14%,6,39.34,73.37,63.43
96,19,Female,5.02,5.55,4.15,2.89,2.62,1.7,9,384 mg,36.0,8,77.29%,7,15.87,49.91,77.7
97,22,Female,6.35,4.66,6.2,1.82,2.05,4.37,7,382 mg,0.0,16,92.04%,8,19.0,38.04,70.98
98,28,Female,7.3,7.61,1.71,1.6,0.71,0.0,4,,34.0,16,85.23%,6,44.72,84.86,76.13
99,25,Male,8.52,8.59,2.36,1.88,0.79,0.0,7,224 mg,67.0,16,86.89%,4,47.23,90.05,82.28
100,29,Female,4.37,5.56,7.72,4.02,2.41,2.72,13,414 mg,0.0,2,57.48%,10,0.0,36.17,68.94
101,29,Male,1.86,5.01,11.53,5.62,4.04,4.36,8,442 mg,26.0,1,55.38%,10,0.0,8.46,46.53
102,22,Female,5.39,6.22,7.37,4.1,2.99,2.71,7,442 mg,44.0,11,84.08%,8,21.5,48.95,53.63
103,18,Male,4.83,7.43,7.36,4.31,2.54,4.59,8,380 mg,40.0,6,64.76%,7,24.06,57.8,67.9
104,26,Female,5.68,5.44,8.89,4.27,3.17,2.62,6,420 mg,26.0,9,79.80%,9,3.77,25.04,54.6
105,24,Male,3.78,4.94,8.61,3.65,2.35,3.37,12,501 mg,0.0,5,71.31%,10,0.0,30.52,69.35
106,19,Male,1.98,4.54,7.2,2.95,1.8,1.33,15,492 mg,21.0,3,47.81%,9,0.0,25.59,67.42
107,28,Other,7.33,6.37,5.69,2.45,1.58,2.78,6,508 mg,33.0,11,80.92%,8,21.12,49.21,85.92
108,20,Male,5.41,6.0,5.8,2.28,1.31,1.9,8,544 mg,34.0,11,73.82%,8,23.4,67.75,71.5
109,23,Other,7.84,7.61,0.71,0.17,0.0,0.53,5,260 mg,100.0,16,87.06%,2,62.28,96.02,100.0
110,29,Female,4.95,5.65,6.81,3.81,1.97,1.37,9,401 mg,26.0,7,67.54%,8,17.7,41.91,75.03
111,18,Female,7.99,8.65,1.25,0.51,0.0,0.0,5,297 mg,57.0,17,75.41%,5,46.07,84.94,68.46
112,29,Male,5.22,6.72,0.99,0.0,0.0,0.5,6,268 mg,29.0,10,80.25%,7,40.48,66.96,53.52
113,23,Other,3.27,7.44,5.66,1.94,1.9,3.08,9,247 mg,53.0,7,60.93%,7,32.56,66.82,82.85
114,24,Male,6.29,5.26,5.84,2.62,2.97,0.61,7,353 mg,38.0,10,83.60%,7,15.31,40.57,62.07
115,22,Male,9.09,8.32,3.33,1.24,0.86,1.79,2,270 mg,69.0,14,94.02%,3,46.52,97.98,81.22
116,23,Female,3.5,5.9,7.63,3.99,2.72,4.47,10,410 mg,23.0,5,71.23%,9,0.0,18.54,69.79
117,18,Male,1.27,7.81,9.68,4.31,3.59,3.31,11,333 mg,66.0,1,51.29%,7,1.84,20.43,45.07
118,20,Female,3.05,5.95,8.86,4.04,2.99,3.19,12,387 mg,84.0,4,63.66%,7,12.68,41.24,67.18
119,29,Male,4.24,6.54,7.88,3.64,1.23,3.13,8,348 mg,79.0,7,71.15%,6,18.92,62.94,65.73
120,29,Male,5.32,5.02,6.65,2.63,1.19,3.69,10,355 mg,35.0,12,73.62%,7,9.36,45.53,84.4
121,21,Male,5.27,6.3,9.39,4.64,1.6,2.22,10,352 mg,16.0,10,78.31%,9,5.15,18.75,52.82
122,22,Female,5.72,5.97,2.78,1.32,1.23,1.2,6,365 mg,43.0,12,76.45%,6,42.54,74.14,70.5
123,24,Male,8.97,7.73,3.28,0.97,0.79,2.81,4,115 mg,110.0,12,77.77%,3,46.33,100.0,78.19
124,24,Female,8.12,6.04,8.36,3.62,1.82,4.35,3,427 mg,61.0,14,82.16%,8,12.14,54.96,85.89
125,23,Other,9.53,6.4,1.71,0.08,0.6,2.5,3,285 mg,73.0,19,100.00%,3,44.08,92.88,89.43
126,30,Female,7.38,6.51,7.32,3.01,2.59,2.63,7,347 mg,58.0,13,75.22%,5,29.81,59.25,77.62
127,28,Female,6.42,7.2,4.62,1.15,1.34,0.22,7,334 mg,52.0,12,75.17%,5,47.57,74.3,78.47
128,26,Male,7.07,7.91,0.11,0.48,0.92,1.07,6,142 mg,68.0,13,80.79%,3,54.21,97.24,75.23
129,28,Male,5.01,6.01,2.62,1.21,0.34,0.77,9,284 mg,46.0,8,67.21%,6,29.96,47.88,68.14
130,22,Male,4.9,6.85,6.38,2.22,2.46,3.57,7,,17.0,8,74.57%,8,23.19,54.01,69.79
